Name,Email,Faculty,Password,
CHERN,YCHERN@e.ntu.edu.sg,SCSE,password,null
CALVIN,CT113@e.ntu.edu.sg,SCSE,password,null
LEE,LE51@e.ntu.edu.sg,SCSE,password,null
RAWAL,AKY013@e.ntu.edu.sg,SSS,password,null
CHAN,YCN019@e.ntu.edu.sg,NBS,password,null
BRANDON,BR015@e.ntu.edu.sg,EEE,password,null
DONG,DON84@e.ntu.edu.sg,ADM,password,null
ERNEST,ELI34@e.ntu.edu.sg,EEE,password,null
KOH,KOH1@e.ntu.edu.sg,ADM,password,null
DENISE,DL007@e.ntu.edu.sg,SCSE,password,null
LIU,SL22@e.ntu.edu.sg,NBS,password,null
